sample,site,date,plant_species,plant_number,mass_g,acetamiprid ,clothianidin ,dinotefuran ,imidacloprid ,thiacloprid ,thiamethoxam ,surrogate_percentrecovery_imidacloprid_d4
PS1019,basswood1,20150922,solidego,1,3.06,nd,nd,nd,nd,nd,nd,72
PS1020,basswood1,20150922,solidego,2,3.01,nd,nd,nd,nd,nd,nd,87.4
PS1021,basswood1,20150922,solidego,3,3.1,nd,nd,nd,nd,nd,nd,69.5
PS1022,interim2,20150922,solidego,1,2.41,nd,nd,nd,nd,nd,nd,86.3
PS1023,interim2,20150922,solidego,2,2.15,nd,nd,nd,nd,nd,nd,80.1
PS1024,interim2,20150922,solidego,3,2.23,nd,nd,nd,nd,nd,nd,72.4
PS1025,orbweaver1,20150922,solidego,1,3.06,nd,nd,nd,nd,nd,nd,71.2
PS1026,orbweaver1,20150922,solidego,2,3.01,nd,nd,nd,nd,nd,nd,89
PS1027,orbweaver1,20150922,solidego,3,3.08,nd,nd,nd,nd,nd,nd,84
PS1088,basswood1,20160524,zizia_aurea,1,3.09,nd,nd,nd,nd,nd,nd,71.6
PS1089,interim2,20160524,zizia_aurea,1,3.13,nd,nd,nd,nd,nd,nd,72
PS1090,orbweaver1,20160524,zizia_aurea,1,3.04,nd,nd,nd,nd,nd,nd,75
PS1091,ARMS,20160518,zizia_aurea,1,3.19,nd,nd,nd,nd,nd,nd,73.1
PS1092,EIA,20160517,capsella bursa-pastoris,1,3,nd,nd,nd,nd,nd,nd,94.6
PS1093,WORL,20160617,zizia_aurea,1,3.17,nd,nd,nd,nd,nd,nd,89.7
PS1094,EIA,20160614,taraxicum_officinale,1,3.44,nd,nd,nd,nd,nd,nd,104.1
